site,date,sp_method,species,bin,count,nms
Middle West,3/4/08,sea_star,PISOCH,170,1,CINMS
Middle West,3/4/08,sea_star,PISOCH,NM,612,CINMS
Middle West,3/4/08,sea_star,PISOCH,30,1,CINMS
Middle West,3/4/08,sea_star,PISOCH,40,2,CINMS
Middle West,3/4/08,sea_star,PISOCH,50,1,CINMS
Middle West,3/4/08,sea_star,PISOCH,60,7,CINMS
Middle West,3/4/08,sea_star,PISOCH,70,7,CINMS
Middle West,3/4/08,sea_star,PISOCH,80,9,CINMS
Middle West,11/12/08,sea_star,PISOCH,90,8,CINMS
Middle West,11/12/08,sea_star,PISOCH,100,13,CINMS
Middle West,11/12/08,sea_star,PISOCH,110,15,CINMS
Middle West,11/12/08,sea_star,PISOCH,120,16,CINMS
Middle West,11/12/08,sea_star,PISOCH,130,15,CINMS
Middle West,11/12/08,sea_star,PISOCH,140,5,CINMS
Middle West,11/12/08,sea_star,PISOCH,150,9,CINMS
Middle West,11/12/08,sea_star,PISOCH,160,8,CINMS
Middle West,11/12/08,sea_star,PISOCH,170,1,CINMS
Middle West,11/12/08,sea_star,PISOCH,180,5,CINMS
Middle West,11/12/08,sea_star,PISOCH,NM,633,CINMS
Middle West,11/12/08,sea_star,PISOCH,50,1,CINMS
Middle West,11/12/08,sea_star,PISOCH,60,1,CINMS
Middle West,11/12/08,sea_star,PISOCH,70,2,CINMS
Middle West,11/12/08,sea_star,PISOCH,80,1,CINMS
Middle West,3/8/09,sea_star,PISOCH,90,15,CINMS
Middle West,3/8/09,sea_star,PISOCH,100,21,CINMS
Middle West,3/8/09,sea_star,PISOCH,110,28,CINMS
Middle West,3/8/09,sea_star,PISOCH,120,19,CINMS
Middle West,3/8/09,sea_star,PISOCH,130,4,CINMS
Middle West,3/8/09,sea_star,PISOCH,140,7,CINMS
Middle West,3/8/09,sea_star,PISOCH,150,1,CINMS
Middle West,3/8/09,sea_star,PISOCH,160,1,CINMS
Middle West,3/8/09,sea_star,PISOCH,170,1,CINMS
Middle West,3/8/09,sea_star,PISOCH,20,2,CINMS
Middle West,3/8/09,sea_star,PISOCH,NM,439,CINMS
Middle West,3/8/09,sea_star,PISOCH,30,2,CINMS
Middle West,3/8/09,sea_star,PISOCH,40,1,CINMS
Middle West,3/8/09,sea_star,PISOCH,50,1,CINMS
Middle West,3/8/09,sea_star,PISOCH,70,5,CINMS
Middle West,3/8/09,sea_star,PISOCH,80,9,CINMS
Middle West,12/15/09,sea_star,PISOCH,90,25,CINMS
Middle West,12/15/09,sea_star,PISOCH,100,35,CINMS
Middle West,12/15/09,sea_star,PISOCH,110,12,CINMS
Middle West,12/15/09,sea_star,PISOCH,120,10,CINMS
Middle West,12/15/09,sea_star,PISOCH,130,4,CINMS
Middle West,12/15/09,sea_star,PISOCH,140,1,CINMS
Middle West,12/15/09,sea_star,PISOCH,50,3,CINMS
Middle West,12/15/09,sea_star,PISOCH,60,2,CINMS
Middle West,12/15/09,sea_star,PISOCH,70,8,CINMS
Middle West,12/15/09,sea_star,PISOCH,80,10,CINMS
Middle West,3/12/10,sea_star,PISOCH,90,29,CINMS
Middle West,3/12/10,sea_star,PISOCH,100,21,CINMS
Middle West,3/12/10,sea_star,PISOCH,110,6,CINMS
Middle West,3/12/10,sea_star,PISOCH,120,1,CINMS
Middle West,3/12/10,sea_star,PISOCH,NM,185,CINMS
Middle West,3/12/10,sea_star,PISOCH,30,2,CINMS
Middle West,3/12/10,sea_star,PISOCH,40,2,CINMS
Middle West,3/12/10,sea_star,PISOCH,50,5,CINMS
Middle West,3/12/10,sea_star,PISOCH,60,4,CINMS
Middle West,3/12/10,sea_star,PISOCH,70,10,CINMS
Middle West,3/12/10,sea_star,PISOCH,80,21,CINMS
Middle West,12/2/10,sea_star,PISOCH,90,48,CINMS
Middle West,12/2/10,sea_star,PISOCH,100,23,CINMS
Middle West,12/2/10,sea_star,PISOCH,110,11,CINMS
Middle West,12/2/10,sea_star,PISOCH,120,5,CINMS
Middle West,12/2/10,sea_star,PISOCH,140,1,CINMS
Middle West,12/2/10,sea_star,PISOCH,NM,309,CINMS
Middle West,12/2/10,sea_star,PISOCH,30,1,CINMS
Middle West,12/2/10,sea_star,PISOCH,40,1,CINMS
Middle West,12/2/10,sea_star,PISOCH,50,1,CINMS
Middle West,12/2/10,sea_star,PISOCH,60,3,CINMS
Middle West,12/2/10,sea_star,PISOCH,70,8,CINMS
Middle West,12/2/10,sea_star,PISOCH,80,12,CINMS
Middle West,3/30/11,sea_star,PISOCH,90,16,CINMS
Middle West,3/30/11,sea_star,PISOCH,100,27,CINMS
Middle West,3/30/11,sea_star,PISOCH,110,23,CINMS
Middle West,3/30/11,sea_star,PISOCH,120,10,CINMS
Middle West,3/30/11,sea_star,PISOCH,130,5,CINMS
Middle West,3/30/11,sea_star,PISOCH,140,2,CINMS
Middle West,3/30/11,sea_star,PISOCH,150,1,CINMS
Middle West,3/30/11,sea_star,PISOCH,NM,353,CINMS
Middle West,3/30/11,sea_star,PISOCH,50,3,CINMS
Middle West,3/30/11,sea_star,PISOCH,60,5,CINMS
Middle West,3/30/11,sea_star,PISOCH,70,4,CINMS
Middle West,3/30/11,sea_star,PISOCH,80,4,CINMS
Middle West,4/24/12,sea_star,PISOCH,90,27,CINMS
Middle West,4/24/12,sea_star,PISOCH,100,11,CINMS
Middle West,4/24/12,sea_star,PISOCH,110,8,CINMS
Middle West,4/24/12,sea_star,PISOCH,120,10,CINMS
Middle West,4/24/12,sea_star,PISOCH,130,5,CINMS
Middle West,4/24/12,sea_star,PISOCH,140,1,CINMS
Middle West,4/24/12,sea_star,PISOCH,150,1,CINMS
Middle West,4/24/12,sea_star,PISOCH,50,1,CINMS
Middle West,4/24/12,sea_star,PISOCH,60,8,CINMS
Middle West,4/24/12,sea_star,PISOCH,70,13,CINMS
Middle West,4/24/12,sea_star,PISOCH,80,15,CINMS
Middle West,11/27/12,sea_star,PISOCH,90,25,CINMS
Middle West,11/27/12,sea_star,PISOCH,100,17,CINMS
Middle West,11/27/12,sea_star,PISOCH,110,17,CINMS
Middle West,11/27/12,sea_star,PISOCH,120,6,CINMS
Middle West,11/27/12,sea_star,PISOCH,130,2,CINMS
Middle West,11/27/12,sea_star,PISOCH,NM,243,CINMS
Middle West,11/27/12,sea_star,PISOCH,40,1,CINMS
Middle West,11/27/12,sea_star,PISOCH,50,2,CINMS
Middle West,11/27/12,sea_star,PISOCH,60,7,CINMS
Middle West,11/27/12,sea_star,PISOCH,70,5,CINMS
Middle West,11/27/12,sea_star,PISOCH,80,18,CINMS
Middle West,12/2/13,sea_star,PISOCH,90,13,CINMS
Middle West,12/2/13,sea_star,PISOCH,100,14,CINMS
Middle West,12/2/13,sea_star,PISOCH,110,6,CINMS
Middle West,12/2/13,sea_star,PISOCH,130,1,CINMS
Middle West,12/2/13,sea_star,PISOCH,NM,228,CINMS
Middle West,12/2/13,sea_star,PISOCH,60,3,CINMS
Middle West,12/2/13,sea_star,PISOCH,70,10,CINMS
Middle West,12/2/13,sea_star,PISOCH,80,18,CINMS
Middle West,11/5/14,sea_star,PATMIN,NA,0,CINMS
Middle West,11/5/14,sea_star,PISGIG,NA,0,CINMS
Middle West,11/5/14,sea_star,PISOCH,90,1,CINMS
Middle West,11/5/14,sea_star,PISOCH,10,1,CINMS
Middle West,11/5/14,sea_star,PYCHEL,NA,0,CINMS
Middle West,11/12/15,sea_star,PISOCH,90,1,CINMS
Middle West,12/11/16,sea_star,PISOCH,50,1,CINMS
Middle West,1/27/18,sea_star,PATMIN,NA,1,CINMS
Middle West,1/27/18,sea_star,PISOCH,60,1,CINMS
Middle West,11/6/18,sea_star,PISOCH,100,1,CINMS
Middle West,5/7/00,sea_star,PISGIG,NA,4,CINMS
Middle West,5/7/00,sea_star,PISOCH,NM,107,CINMS
Middle West,11/11/00,sea_star,PISOCH,NM,13,CINMS
Middle West,3/13/02,sea_star,PISOCH,NM,201,CINMS
Middle West,4/24/03,sea_star,PISOCH,NM,372,CINMS
Middle West,1/21/04,sea_star,PISOCH,90,6,CINMS
Middle West,1/21/04,sea_star,PISOCH,100,5,CINMS
Middle West,1/21/04,sea_star,PISOCH,110,7,CINMS
Middle West,1/21/04,sea_star,PISOCH,120,13,CINMS
Middle West,1/21/04,sea_star,PISOCH,130,17,CINMS
Middle West,1/21/04,sea_star,PISOCH,140,12,CINMS
Middle West,1/21/04,sea_star,PISOCH,150,10,CINMS
Middle West,1/21/04,sea_star,PISOCH,170,1,CINMS
Middle West,1/21/04,sea_star,PISOCH,190,1,CINMS
Middle West,1/21/04,sea_star,PISOCH,200,1,CINMS
Middle West,1/21/04,sea_star,PISOCH,NM,59,CINMS
Middle West,1/21/04,sea_star,PISOCH,50,2,CINMS
Middle West,1/21/04,sea_star,PISOCH,60,2,CINMS
Middle West,1/21/04,sea_star,PISOCH,70,2,CINMS
Middle West,1/6/05,sea_star,PISOCH,90,4,CINMS
Middle West,1/6/05,sea_star,PISOCH,100,11,CINMS
Middle West,1/6/05,sea_star,PISOCH,110,20,CINMS
Middle West,1/6/05,sea_star,PISOCH,120,18,CINMS
Middle West,1/6/05,sea_star,PISOCH,130,16,CINMS
Middle West,1/6/05,sea_star,PISOCH,140,6,CINMS
Middle West,1/6/05,sea_star,PISOCH,150,3,CINMS
Middle West,1/6/05,sea_star,PISOCH,160,3,CINMS
Middle West,1/6/05,sea_star,PISOCH,20,1,CINMS
Middle West,1/6/05,sea_star,PISOCH,50,1,CINMS
Middle West,1/6/05,sea_star,PISOCH,60,1,CINMS
Middle West,1/6/05,sea_star,PISOCH,70,1,CINMS
Middle West,1/6/05,sea_star,PISOCH,80,1,CINMS
Middle West,6/23/05,sea_star,PISOCH,90,4,CINMS
Middle West,6/23/05,sea_star,PISOCH,100,6,CINMS
Middle West,6/23/05,sea_star,PISOCH,110,31,CINMS
Middle West,6/23/05,sea_star,PISOCH,120,25,CINMS
Middle West,6/23/05,sea_star,PISOCH,130,17,CINMS
Middle West,6/23/05,sea_star,PISOCH,140,8,CINMS
Middle West,6/23/05,sea_star,PISOCH,150,3,CINMS
Middle West,6/23/05,sea_star,PISOCH,160,1,CINMS
Middle West,6/23/05,sea_star,PISOCH,170,1,CINMS
Middle West,6/23/05,sea_star,PISOCH,180,1,CINMS
Middle West,6/23/05,sea_star,PISOCH,NM,38,CINMS
Middle West,6/23/05,sea_star,PISOCH,80,2,CINMS
S Frenchys Cove,3/28/06,sea_star,PISOCH,120,1,CINMS
S Frenchys Cove,3/28/06,sea_star,PISOCH,180,2,CINMS
S Frenchys Cove,11/22/06,sea_star,PISOCH,NM,16,CINMS
S Frenchys Cove,3/17/07,sea_star,PISOCH,110,3,CINMS
S Frenchys Cove,3/17/07,sea_star,PISOCH,120,3,CINMS
S Frenchys Cove,3/17/07,sea_star,PISOCH,140,1,CINMS
S Frenchys Cove,3/17/07,sea_star,PISOCH,150,2,CINMS
S Frenchys Cove,3/17/07,sea_star,PISOCH,40,1,CINMS
S Frenchys Cove,3/17/07,sea_star,PISOCH,50,1,CINMS
S Frenchys Cove,3/17/07,sea_star,PISOCH,60,2,CINMS
S Frenchys Cove,3/17/07,sea_star,PISOCH,80,1,CINMS
S Frenchys Cove,12/21/07,sea_star,PISOCH,90,1,CINMS
S Frenchys Cove,12/21/07,sea_star,PISOCH,100,3,CINMS
S Frenchys Cove,12/21/07,sea_star,PISOCH,110,3,CINMS
S Frenchys Cove,12/21/07,sea_star,PISOCH,130,2,CINMS
S Frenchys Cove,12/21/07,sea_star,PISOCH,140,1,CINMS
S Frenchys Cove,12/21/07,sea_star,PISOCH,NM,2,CINMS
S Frenchys Cove,12/21/07,sea_star,PISOCH,50,1,CINMS
S Frenchys Cove,12/21/07,sea_star,PISOCH,70,3,CINMS
S Frenchys Cove,3/3/08,sea_star,PISOCH,NM,5,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,90,4,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,100,3,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,110,8,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,120,2,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,130,2,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,140,3,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,150,1,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,40,1,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,50,2,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,70,3,CINMS
S Frenchys Cove,11/11/08,sea_star,PISOCH,80,4,CINMS
S Frenchys Cove,3/9/09,sea_star,PISOCH,90,3,CINMS
S Frenchys Cove,3/9/09,sea_star,PISOCH,100,3,CINMS
S Frenchys Cove,3/9/09,sea_star,PISOCH,110,5,CINMS
S Frenchys Cove,3/9/09,sea_star,PISOCH,130,1,CINMS
S Frenchys Cove,3/9/09,sea_star,PISOCH,150,1,CINMS
S Frenchys Cove,3/9/09,sea_star,PISOCH,30,1,CINMS
S Frenchys Cove,3/9/09,sea_star,PISOCH,40,4,CINMS
S Frenchys Cove,3/9/09,sea_star,PISOCH,70,2,CINMS
S Frenchys Cove,3/9/09,sea_star,PISOCH,80,7,CINMS
S Frenchys Cove,12/2/09,sea_star,PISOCH,NM,34,CINMS
S Frenchys Cove,11/4/10,sea_star,PISOCH,90,1,CINMS
S Frenchys Cove,11/4/10,sea_star,PISOCH,100,1,CINMS
S Frenchys Cove,11/4/10,sea_star,PISOCH,110,3,CINMS
S Frenchys Cove,11/4/10,sea_star,PISOCH,120,2,CINMS
S Frenchys Cove,11/4/10,sea_star,PISOCH,130,1,CINMS
S Frenchys Cove,11/4/10,sea_star,PISOCH,50,2,CINMS
S Frenchys Cove,11/4/10,sea_star,PISOCH,60,1,CINMS
S Frenchys Cove,11/4/10,sea_star,PISOCH,70,3,CINMS
S Frenchys Cove,11/4/10,sea_star,PISOCH,80,4,CINMS
S Frenchys Cove,11/23/11,sea_star,PISOCH,NM,27,CINMS
S Frenchys Cove,11/25/12,sea_star,PISOCH,NM,17,CINMS
S Frenchys Cove,12/16/13,sea_star,PISOCH,90,1,CINMS
S Frenchys Cove,12/16/13,sea_star,PISOCH,100,8,CINMS
S Frenchys Cove,12/16/13,sea_star,PISOCH,110,4,CINMS
S Frenchys Cove,12/16/13,sea_star,PISOCH,120,6,CINMS
S Frenchys Cove,12/16/13,sea_star,PISOCH,130,1,CINMS
S Frenchys Cove,12/16/13,sea_star,PISOCH,140,1,CINMS
S Frenchys Cove,12/16/13,sea_star,PISOCH,40,1,CINMS
S Frenchys Cove,12/16/13,sea_star,PISOCH,70,3,CINMS
S Frenchys Cove,12/16/13,sea_star,PISOCH,80,3,CINMS
S Frenchys Cove,5/20/14,sea_star,PISOCH,NA,0,CINMS
S Frenchys Cove,11/3/14,sea_star,PATMIN,NA,0,CINMS
S Frenchys Cove,11/3/14,sea_star,PISGIG,NA,0,CINMS
S Frenchys Cove,11/3/14,sea_star,PISOCH,NA,0,CINMS
S Frenchys Cove,11/3/14,sea_star,PYCHEL,NA,0,CINMS
S Frenchys Cove,11/11/15,sea_star,PISOCH,NA,0,CINMS
S Frenchys Cove,12/13/16,sea_star,PISOCH,NA,0,CINMS
S Frenchys Cove,5/6/00,sea_star,PISOCH,NA,0,CINMS
S Frenchys Cove,11/10/00,sea_star,PISOCH,NA,0,CINMS
S Frenchys Cove,3/20/01,sea_star,PISOCH,NA,0,CINMS
